bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
3,2,57.99,10.3,177.61,Đ.Công Trường Tự Do,P.19,Q.Bình Thạnh,
1,1,22.8,3,131.57,Đ.Phạm Viết Chánh,P.19,Q.Bình Thạnh,Hồ Chí Minh
4,3,60.5,8.8,145.45,Đ.Huỳnh Mẫn Đạt,P.19,Q.Bình Thạnh,Hồ Chí Minh
1,1,54.7,5,91.4,Đ.Nguyễn Công Trứ,P.19,Q.Bình Thạnh,Hồ Chí Minh
2,2,41.4,9,217.39,Đ.Trần Quang Long,P.19,Q.Bình Thạnh,Hồ Chí Minh
2,2,97.3,19,195.27,Đ.Phan Huy Ôn,P.19,Q.Bình Thạnh,Hồ Chí Minh
4,4,67.7,15,221.56,Đ.Mê Linh,P.19,Q.Bình Thạnh,Hồ Chí Minh
3,3,170.4,38,223,Đ.Nguyễn Văn Lạc,P.19,Q.Bình Thạnh,Hồ Chí Minh
2,2,56.6,12.9,227.91,Đ.Nguyễn Hữu Cảnh,P.19,Q.Bình Thạnh,Hồ Chí Minh
3,2,20.5,4.9,239.02,Đ.Ngô Tất Tố,P.19,Q.Bình Thạnh,Hồ Chí Minh
1,1,80,2.1,26.25,Đ.Phan Huy Ôn,P.19,Q.Bình Thạnh,Hồ Chí Minh
3,3,47.28,6.4,135.36,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,38.9,5.2,133.67,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
1,1,46,4.55,98.91,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,85.4,8.5,99.53,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
1,1,14.2,2.1,147.88,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,44,5.9,134.09,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
3,2,47,5.3,112.76,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,1,74.4,6.3,84.67,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,1,40.1,3.75,93.51,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
3,3,62,9.8,158.06,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
3,2,35.4,4.6,129.94,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,18.3,2.4,131.14,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
1,1,18.3,3.1,169.39,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
9,9,43.1,7.9,183.29,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,62.1,12,193.23,Đ.Xô Viết Nghệ Tĩnh,P.21,Q.Bình Thạnh,Hồ Chí Minh
2,2,46.9,5,106.6,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
2,2,31.5,8.2,260.31,Đ.Nguyễn Hữu Cảnh,P.22,Q.Bình Thạnh,
3,2,116.2,9,77.45,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
1,2,79.8,16,200.5,Đ.Điện Biên Phủ,P.22,Q.Bình Thạnh,Hồ Chí Minh
4,3,35.4,5.9,166.66,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,4,70.9,12,169.25,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.3,3.5,138.33,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,4,15.7,4,254.77,Đ.Điện Biên Phủ,P.22,Q.Bình Thạnh,Hồ Chí Minh
2,1,20.93,3,143.33,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
2,2,51,6.8,133.33,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
4,4,44.1,5.7,129.25,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,3,72.8,15,206.04,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,3,57.7,5.5,95.32,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,2,194.8,24,123.2,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
4,2,43.6,16,366.97,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
4,1,21.1,3.05,144.54,Đ.Điện Biên Phủ,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,2,31.2,7,224.35,Đ.Võ Duy Ninh,P.22,Q.Bình Thạnh,Hồ Chí Minh
2,2,68.8,8,116.27,Đ.Phú Mỹ,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,4,118.3,14,118.34,Đ.Nguyễn Hữu Cảnh,P.22,Q.Bình Thạnh,
1,1,18.8,3.3,175.53,Đ.Nguyễn Hữu Cảnh,P.22,Q.Bình Thạnh,
3,2,93.8,11.8,125.79,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
7,3,48.1,8,166.32,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
3,2,26,5.8,223.07,Đ.Ngô Tất Tố,P.22,Q.Bình Thạnh,Hồ Chí Minh
